,productname,brand,price,fabrictype,closuretype,countryoforigin,productdescription,ratings,rate,about,product_id,brand_id
0,"Champion Men's Joggers, Lightweight Lounge Pants, Jersey Graphic Pants for Men, 31""", Champion,26.0,100% Cotton,Front,El Salvador,"Champion Men'S Joggers, Lightweight Lounge Pants, Jersey Graphic Pants For Men, 31",44957,4.4,"THE FIT - Standard-fit men's lounge joggers with a 31"" inseam.",1,16
1,Amazon Essentials Men's Relaxed-Fit 5-Pocket Stretch Twill Pant, Amazon Essentials,23.7,"99% Cotton, 1% Elastane (also known as Spandex)",Zipper,Vietnam,"Amazon Essentials is focused on creating affordable, high-quality, and long-lasting everyday clothing you can rely on. Our line of men's must-haves includes polo shirts, chino pants, classic-fit shorts, casual button-downs, and crew-neck tees. Our consistent sizing takes the guesswork out of shopping, and each piece is put to the test to maintain the highest standards in quality and comfort.",3438,4.4,"RELAXED FIT: Our most generous pants fit, relaxed through the hip, thigh, and leg. Sits at the waist.",2,5
2,"Hanes Sport Xtemp Workout Pockets, Men's Training Pants", Hanes,14.96,100% Polyester,Drawstring,Jordan,"You put in the sweat. Let Hanes® do the rest. Hanes Sport™ men’s activewear is designed to keep you fresher – no matter how long the workout. X-Temp™ performance training pants are engineered to adapt to your body temperature and activity level, keeping you comfortable. Cool Comfort™ fabric wicks away sweat while Cool DRI™ technology speeds drying. An elastic waistband and built-in quick cord adjust for the perfect fit. The result? You can focus on your training without the distraction of uncomfortable clothing. Featuring an open-bottom hem and convenient side pockets to stash your stuff, these pants are ready to work – or not – just as hard as you are.",18870,4.3,"HANES SPORT – Performance. Style. Comfort. Hanes Sport apparel builds on our comfort heritage with innovative technologies to give you the looks that fit your life, your sport, and your style.",3,35
3,Amazon Essentials Men's Classic-Fit Casual Stretch Chino Pant, Amazon Essentials,29.4,"97% Cotton, 3% Elastane",Zipper,Bangladesh,"We listen to customer feedback and fine-tune every detail to ensure our clothes are more comfortable, higher quality, and longer lasting—at affordable prices for the whole family.",13002,4.3,"RELAXED FIT: Easy through hip, thigh and leg, sits below the waist.",4,5
4,Amazon Essentials Men's Athletic-Fit 5-Pocket Stretch Twill Pant (Available in Big & Tall), Amazon Essentials,23.7,"98% Cotton, 2% Spandex",Zipper,Bangladesh,"Amazon Essentials is focused on creating affordable, high-quality, and long-lasting everyday clothing you can rely on. Our line of men's must-haves includes polo shirts, chino pants, classic-fit shorts, casual button-downs, and crew-neck tees. Our consistent sizing takes the guesswork out of shopping, and each piece is put to the test to maintain the highest standards in quality and comfort.",5363,4.4,ATHLETIC FIT: Extra room in the hip and thigh for athletic builds. Sits at the waist.,5,5
5,Amazon Essentials Men's Slim-Fit Wrinkle-Resistant Flat-Front Stretch Chino Pant, Amazon Essentials,29.4,"72% Organic Cotton, 25% Polyester, 3% Elastane",Button,Bangladesh,"We listen to customer feedback and fine-tune every detail to ensure our clothes are more comfortable, higher quality, and longer lasting - at affordable prices for the whole family.",1064,4.2,SLIM FIT: Fitted through hip and thigh with tapered leg. Sits below the waist.,6,5
6,Lee Mens Extreme Motion Flat Front Relaxed Taper Pant, Lee,36.9,"60% Cotton, 38% Polyester, 2% Spandex",Zipper,Bangladesh,Lee Mens Extreme Motion Flat Front Relaxed Taper Pant,4750,4.5,Relaxed fit,7,43
7,"Russell Athletic Men's Dri Power Fleece Open Bottom Sweatpants with Pockets, Relaxed Fit, Moisture Wicking", Russell Athletic,20.0,"50% Polyester, 50% Cotton",Elastic,Honduras,"Stay warm all season with these Sweatpants. Made with medium-weight fleece, featuring Dri-Power® moisture wicking technology to keep body heat in so you can stay warm and dry. Elastic waistband with inside quick cord, for an adjustable fit. Relaxed open bottom and generous pockets to carry your accessories with you on the go. Inseams- S-30"", M-31"", L-32"", XL-33"", XXL-34"", 3XL-35"", 4XL-36"".",23484,4.3,Relaxed Fit: roomy design for unlimited movement and ultimate comfort,8,62
8,"Perry Ellis Portfolio Modern Fit Twill Men's Dress Pants, Flat Front, Stretch Fabric, Soft and Durable, Straight Leg", Perry Ellis,29.99,100% Polyester,Zipper,Kenya,"Step into modern style and comfort with these Perry Ellis Portfolio flat-front dress pants for men. Featuring a straight fit through the leg and a regular bottom opening, they create a sleek silhouette that effortlessly complements your formal outfits. With added stretch, these pants provide easy movement and a comfortable fit that adapts to your body's contours, allowing you to tackle your everyday activities without restrictions. Crafted from lightweight twill fabrication, they offer durability and resistance while ensuring a comfortable feel. Complete with belt loops, a zipper closure, and four pockets, these trousers seamlessly blend style and functionality. Plus, they're easy to care for, making them an essential addition to your wardrobe. Pair them with your favorite button-down shirt for a polished look.",44,4.5,"MODERN FIT: These dress pants for men feature a fit that is straight through the leg with a regular bottom opening, which creates a modern silhouette, making these pants a sleek and stylish complement to your formal outfits.",9,57
9,Wrangler Authentics Men's Premium Relaxed Fit Straight Leg Cargo Pant, Wrangler Authentics,33.1,100% Cotton,Zipper,Bangladesh,Wrangler Authentics Men's Premium Relaxed Fit Straight Leg Cargo Pant.,20109,4.5,"RELAXED STRAIGHT LEG FIT. These premium cargo pants sit at the natural waist with a relaxed seat and thigh. Finished with a roomy straight leg cut, these cargo pants will keep you comfortable all day.",10,79
