,productName,brand,price,fabricType,closureType,countryOfOrigin,describe,productDescription,ratings,rate
0,Amazon Essentials Men's Classic-Fit Wrinkle-Resistant Flat-Front Chino Pant (Available in Big & Tall), Amazon Essentials,29.8,"60% Cotton, 40% Polyester",Zipper,Bangladesh,CLASSIC FIT: Roomy through hip & thigh with straight leg. Sits at the waist.,An Amazon brand - A flat-front wrinkle-resistant dressy chino pant that offers classic style all week long,54872.0,4.2
1,Van Heusen Men's Flex Flat Front Straight Fit Pant, Van Heusen,48.98,"72% Polyester, 22% Rayon, 6% Spandex",Zipper,Vietnam,Keep your look in place from morning commute to mid-afternoon meeting thanks to our clever shirt-gripper - a stellar addition to our comfortable stretch waistband,Không có,15229.0,4.4
2,Lee Men's Big & Tall Extreme Motion Flat Front Regular Straight Pant, Lee,36.9,"97% Cotton, 3% Spandex",Zipper,Bangladesh,"Straight fit, straight leg opening",LEE Men's Big & Tall Performance Series Extreme Comfort Pant.,6394.0,4.5
3,ATG by Wrangler Men's Synthetic Utility Pant, ATG by Wrangler,24.49,"96% Nylon, 4% Spandex",Zipper,Bangladesh,"QUICK DRYING. Whether you are crossing wet areas hiking or encounter unexpected rain, these quick-drying utility pants are coated with a water repellent finish to keep you dry through any conditions you may come across.","ALL TERRAIN GEAR: You’re ready to take on your next great adventure, which is why ATG x Wrangler brings you performance outdoor apparel that’s got you covered. Nature doesn’t hold back, which is why we’ve designed a full collection of tops, pants, shorts, outerwear and more with stretch, moisture-wicking fabric that helps block the sun with UPF protection and keep you dry for comfort that doesn’t quit. The line is packed with innovative outdoor tech features like sunglasses cleaner at the hem of all shirts, durable, reinforced pants with reinforced and lightweight, breathable fabrics. Whether you’re camping at your favorite site, hiking a new trail or even just exploring your own backyard, we’ve got the gear you need. Any destination. Any terrain. Anytime.",9664.0,4.5
4,adidas Men's Tiro 21 Track Pants, adidas,44.43,100% Polyester,Drawstring,Không xác định,Men's tapered track pants for versatile wear,"TIRO's lifestyle trousers are born from sport, but worn for style. Inspired by 90's football, they're great on their own, but best enjoyed as a comfortable uniform with our matching top.",24864.0,4.7
5,Wrangler Men's Flat Front Relaxed Fit Casual Pant, Wrangler,36.99,"98% Cotton, 2% Spandex",Zipper,Mexico,Stretch twill,Không có,2256.0,4.4
6,Eddie Bauer Men's Rainier Pants, Eddie Bauer,70.0,"94% Nylon, 6% Spandex","Button, zipper",Sri Lanka,bluesign certified fabric—ensures safe and sustainable textile production,"Built for high performance and maximum comfort, these pants are made with a 2-way stretch nylon/spandex fabric. It's treated with a durable, water-repellent finish and features UPF sun protection. Ideal for hiking or anytime adventure calls.",246.0,4.4
7,Wrangler Authentics Men's Premium Relaxed Fit Straight Leg Cargo Pant, Wrangler Authentics,33.1,100% Cotton,Zipper,Bangladesh,"RELAXED STRAIGHT LEG FIT. These premium cargo pants sit at the natural waist with a relaxed seat and thigh. Finished with a roomy straight leg cut, these cargo pants will keep you comfortable all day.",Wrangler Authentics Men's Premium Relaxed Fit Straight Leg Cargo Pant.,20109.0,4.5
8,Tommy Hilfiger Men's Classic Stretch Chino Pants, Tommy Hilfiger,49.99,"78% Rayon, 19% Nylon, 3% Spandex",Hook and Bar,Guatemala,"Shapely Fit: Tommy Hilfiger Modern Fit dress pants for men give you room in the hip, seat, and thigh while creating a sleek silhouette.",Không có,1851.0,4.4
9,Amazon Essentials Men's Straight-Fit Casual Stretch Chino Pant, Amazon Essentials,23.7,"97% Cotton, 3% Elastane",Zipper,Bangladesh,STRAIGHT FIT: Fits with slight ease through hip and thigh with straight leg. Sits at the waist.,1Placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text,9890.0,4.3
